Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player,RSorPO
2003-04,19,CLE,NBA,,15,29,5,10,15,27,16,18,5,14,16,13,6,5,8,5,41,39,Lebron James,Regular Season
2004-05,20,CLE,NBA,,18,36,7,13,15,28,15,22,5,17,18,15,7,3,10,6,56,42.9,Lebron James,Regular Season
2005-06,21,CLE,NBA,53:55:00,19,35,6,11,18,30,24,28,4,11,13,12,6,4,7,5,52,43.8,Lebron James,Regular Season
2006-07,22,CLE,NBA,53:10:00,17,31,4,9,16,28,19,23,4,15,17,12,4,3,9,6,41,33.8,Lebron James,Regular Season
2007-08,23,CLE,NBA,50:13:00,18,32,7,13,16,29,16,23,5,14,19,14,6,4,8,6,51,45,Lebron James,Regular Season
2008-09,24,CLE,NBA,46:59:00,17,33,8,11,15,26,16,22,6,11,15,14,5,4,8,4,55,43.4,Lebron James,Regular Season
2009-10,25,CLE,NBA,47:00:00,17,33,6,12,14,26,17,22,4,13,16,15,5,4,8,4,48,44.7,Lebron James,Regular Season
2010-11,26,MIA,NBA,46:44:00,17,30,5,10,14,26,17,22,3,11,13,14,6,3,9,5,51,46.7,Lebron James,Regular Season
2011-12,27,MIA,NBA,47:18:00,16,27,4,7,16,25,15,19,7,12,13,13,5,3,8,5,41,40.6,Lebron James,Regular Season
2012-13,28,MIA,NBA,51:56:00,17,31,7,10,16,25,15,16,7,12,16,16,6,4,7,5,40,44.2,Lebron James,Regular Season
2013-14,29,MIA,NBA,49:22:00,22,33,8,10,14,23,14,15,4,13,14,13,6,3,8,6,61,48.8,Lebron James,Regular Season
2014-15,30,CLE,NBA,43:43:00,17,35,4,12,15,27,14,21,3,11,11,14,5,3,9,5,42,33.1,Lebron James,Regular Season
2015-16,31,CLE,NBA,45:03:00,15,29,5,11,14,24,12,17,6,13,16,13,4,3,9,4,37,34.8,Lebron James,Regular Season
2016-17,32,CLE,NBA,51:39:00,17,29,6,11,14,19,14,16,5,14,17,17,4,3,8,6,44,40,Lebron James,Regular Season
2017-18,33,CLE,NBA,48:19:00,23,34,6,11,21,30,13,15,5,15,16,19,6,4,11,4,57,53.2,Lebron James,Regular Season
2018-19,34,LAL,NBA,43:03:00,19,31,6,10,13,23,13,15,4,13,14,16,4,3,8,4,51,44.3,Lebron James,Regular Season
2005-06,21,CLE,NBA,53:00:00,16,30,7,12,14,26,17,18,5,12,14,11,4,3,10,5,45,38.4,Lebron James,Playoffs
